text,label
My daughter likes mine so I ordered one for her also,human
"GREAT BAGS FOR OLDER TYPE COMPACTORS, ( 18 GALLONS), VERY STRONG NO RIP.  HARD TO FIND THIS BAG IN STORES",human
Pros-pit does the job at keeping you straight.Cons-Aruba horribly on your shoulders. Gave me a horrible headache.,human
Compacts easy to store and great for larger or large quantity of pills. Got it for my husband as a weekly pill organizer since all others were not working for the amount he takes on a day to day,human
"[[VIDEOID:a68d86215ccd16a8bf49ee6069682ac]] Trigger warning: video contains my earwaxes. Skip the videopart if you are easily triggered. I did it for review purposes so people know what they’re buying. Okay so this product contained the main tool that you turn on and off, comes with a cord for charging. It also comes with different sizes of scope, also included are metal instruments that you use separately. They don’t attach to the otoscope. There’s also a bunch of cottonbuds included. So you have to download the app, took forever to download it. Once done, I started geeking out my ear. Mind you, this is the first time I used anuthing like this, I just use a q-tip to clean the outer part as instructed by doctors but I’m curious. So i turned it on, there’s microlight surrounding the tip of the pen, then i attached the scope. It’s a bit blurred at first but i just though okay, it will get clear once I put it in my ear. Good grief! You can’t really see what you’re dealing with here. I even tried it with husband and i can’t see a damn thing. **see video if you’re brave. Plus i got scared when I saw my eardrum. This is cool but I’ll probably not gonna use it again. It scared the **** out of me plus the camera is not clear at all even if it’s on focus mode.",human
"I own 4 different dust masks that I keep onin various mowerstractors on a ranch, and I’ve replaced the filtration-bypass valves in the past with other products that fit and worked perfectly, but these DO NOT WORK because they won’t fit, as others have stated in the numerous one star reviews for this lousy product.Additionally, shipping from China took two months for this garbage to get here.",human
So so,human
"Description said yellow, photo shows gold. I contacted them prior to ordering asking specifically if this ribbon was yellow or gold as we want them for wrapping around trees for a returning soldier in our neighborhood so needs to be yellow. Received a response stating they are yellow so I ordered a roll. Received the order and they are not gold they are not even yellow but BEIGE, TAN, I guess you could say LIGHT GOLD. First photo is to show real yellow vs what I received, second photo to show yellow ribbon I had on hand.",human
Difficult to see the the star fish,human
Worked great only a couple times then stopped working. Tried everything to fix it! Emailed the company and received no reply. So unhappy.,human
definitely helps keep my spare bathroom sink from smelling like mildew. Helps keep the kitchen smelling  fresh as well.,human
Didn’t work,human
"I bought this because I have been having trouble with hair loss. I've only been using it about a month, so it's too early to say if it will help with that but I can say my hair looks better (not as dull looking.) It does seem to have helped with my fatigue, too. (Probably the Vitamin Bs??) Overall, so far, I like this. I'll continue to use it.",human
👍👌,human
"I had an Omron that stopped working after quite a few years and was looking for a deal on another bp monitor.  Kroger had one for under $30, but the readings are at least 25-30 points above my normal systolic number and about 10 points above my diastolic number.  I kept taking it during the day and the numbers just kept getting higher.  It was very alarming, and I would love to bring it back.",human
Bought this for my husband who has a lot of neck problems from wearing heavy flight helmets. This works great. It lifts his neck gently and relieves the pressure causing the pain.I 've had 3 neck surgeries and am loaded in metal so it's definitely not for me but perfect on husband who won't have surgery.,human
"At the beginning I was reluctant to believe that omega-3 will help directly in my dry eyes but I am glad to say that actually works. I have Sjogrens and my eyes are very dry during the flare ups. I have being using this for 15 days already and it is working. I am happy with the quality of the product. The pills are dark, and I think this retards oxidation of the oil and I don't have fish-burps afterwards. Thank you!",human
"The Denas device works just fine. These pads, however, don't work at all. And they're quite expensive. And if you open them to actually use them, then your up sh*t creek because they won't accept returns. Pass on these pads.",human
"I opted for this scalp massager to use with my argan oil and rosemary oil to help stimulate hair growth. The brush has an ergonomic handle that fits well in between your fingers and rests well in the palm of your hand. The silicone bristles are soft and not abrasive when you use them on your scalp, but yet firm enough that when used in circular motions on your scalp, I personally feel confident in its ability to stimulate hair growth. Time will tell though. It's fortunate that it came with two; I made a mistake in showing these to my cat and gently rubbing it on her head (of course not with any oils on it). She closed her eyes and kept rubbing her face all over it and proceeded to drool, lol. So now she has claimed the second one as hers, but that's ok. Human approved and Cat approved.",human
I have had a few of these. This brand is the best. The feeling on the lips is nice and smooth with a nice thickness.  It enhances your natural tone and it looks completely natural. This is my second tube!,human
Reordered tape... First time I received the correct items....The second order I received dish scrubbing brushes. Wth??!??!?,human
"My son is almost 9yrs old.  He had been wet EVERY single night since birth. He would often wet through pull-ups.  It was really starting to effect his self-esteem.  Sleep-overs and scout trips were difficult.  We had tried limiting fluids, waking him during night to use bathroom, we had even tried Prescription medication.  We had also tried another ""alarm"" called the Potty Pager.  It was difficult to use, uncomfortable, and ineffective.We started using this wireless alarm since comfort was a big deal for my son.  It worked in just a few weeks.  When he did wet, it was usually just a few drops and it woke him and he could finish in toilet.  Usually even the sheets were still dry - just put new underwear on and back to bed.  It made the whole process not disruptive at all!  I know it sounds cliche but I wish I had gotten this system a LONG time ago.As product stated, the first few nights my son slept through alarm.  His room is 2 doors down from mine.  I am a fairly light sleeper and it would awaken me, and I would go wake him up.  After just 2-3 times, the alarm would wake him up.",human
"Our 8 year old son is a very heavy sleeper and had only been dry a dozen or so times in his life.  Our pediatrician recommended the Nite Train-r, and our son was really excited about the idea of the alarm.  He didn't have any problems or discomfort from the pad.  We did have a couple of false alarms, but it just shows you how sensitive the pads are -- meaning that at the first dribble, the alarm will sound.  It took less than 10 days and my son has been dry and wearing underwear every night since -- not one accident!  The alarm only sounded probably 3 out of those 10 nights, and that's all it took for his sleeping brain to get it.  I wish we would have known about thistried this sooner!  It does seem kind of expensive for what it is, but I figure that we have saved a bundle in pull-ups, and it can easily be re-used or re-sold as used.  All you would need are the inexpensive replacement pads for either male or female.  Amazing product!!",human
Me.gusta porque los he usado pero no puedo enconcontrar los palos de la base,human
